SOA,Education Skills and Training Domain Rank,Proportion of pupils attending Special Schools or attending primary school with Special Education Needs Stages 3-5 (Rank),Absenteeism at Primary Schools (Rank),Proportion of school leavers not achieving at least five GCSEs at English and Maths (Rank),Proportion of those leaving school aged 16 17 and 18 not entering Education Employment or Training (Rank),Proportion of 18-21 year olds who have not enrolled in Higher Education Courses at Higher Education or Further Education establishments (Rank),Proportion of pupils attending Special Schools or who are attending post-primary schools with Special Education Needs Stages 3-5 (Rank),Absenteeism at post-primary schools (Rank),Proportion of working age adults (25-64) with no or low levels of qualification (Rank),Proportion of pupils attending Special Schools or attending primary school with Special Education Needs Stages 3-5 (%),Absenteeism at Primary Schools (% of possible attendance),Proportion of school leavers not achieving five or more GCSEs (and equivalent) incl. English and Maths (%),Proportion of those leaving school aged 16 17 and 18 not entering Education Employment or Training (%),Proportion of 18-21 year olds who have not enrolled in Higher Education Courses at Higher or Further Education establishments (%),Proportion of pupils attending Special Schools or who are attending post-primary schools with Special Education Needs Stages 3-5 (%),Absenteeism at post-primary schools (% of possible attendance),Proportions of working age adults (25-64) with no or low levels of qualification (%)
Abbey 1,269,224,239,266,58,568,643,89,569,11,5.3,41.4,7.9,59.4,6.4,9.6,31.4
Abbey 2,354,380,324,816,188,57,564,198,422,9.3,4.9,13.9,4.6,84.3,7,8.2,36.7
Abbey Park,362,250,405,525,618,448,371,333,259,10.6,4.4,28.8,1.4,62.9,8.9,7,42
Academy,777,708,454,762,377,840,651,798,689,6.5,4.3,18.3,2.8,45.9,6.3,4.5,26.7
Aghagallon 1,577,390,684,617,213,572,454,542,550,9.2,3.5,25.5,4.3,59.2,8,5.8,32
Aghagallon 2,658,770,699,619,753,456,778,622,603,5.8,3.5,25.4,0.7,62.7,4.9,5.4,30.3
Aghanloo 1,598,745,436,462,732,810,781,483,493,6.2,4.3,31.6,0.8,48.5,4.9,6.1,33.9
Aghanloo 2,544,840,696,242,731,679,551,486,496,4.7,3.5,43.3,0.8,55.5,7.2,6.1,33.8
Agivey,676,622,848,494,647,547,386,788,500,7.4,2.9,30.2,1.2,59.9,8.8,4.5,33.7
Ahoghill 1,392,882,312,514,292,263,450,381,371,3.1,4.9,29.5,3.5,69.9,8.1,6.6,38.4
Ahoghill 2,677,744,681,691,510,397,881,681,536,6.2,3.5,21.3,2,64.6,2.6,5.2,32.6
Aldergrove 1,254,82,281,246,203,6,507,420,722,14,5.1,42.9,4.4,91.5,7.6,6.4,25.3
Aldergrove 2,749,725,769,712,353,682,602,733,704,6.3,3.3,20.7,3,55.5,6.8,4.9,26.1
Aldergrove 3,690,854,813,421,571,346,510,775,737,4.3,3.1,33.5,1.6,66.2,7.5,4.6,24.5
Altmore,435,846,604,424,135,459,360,557,211,4.5,3.7,33.4,5.6,62.7,9,5.7,44
Altnagelvin 1,85,557,257,49,240,80,54,151,53,7.9,5.2,63.4,4,81.5,15.8,8.8,56.6
Altnagelvin 2,611,439,266,699,227,560,614,694,692,8.8,5.2,21,4.2,59.7,6.7,5.1,26.5
Altnagelvin 3,488,135,560,621,357,566,419,481,403,12.2,3.9,25.3,2.9,59.5,8.4,6.1,37.1
Andersonstown 1,387,68,205,317,822,558,435,605,379,14.3,5.6,38.3,0,59.7,8.3,5.5,37.9
Andersonstown 2,228,122,56,441,42,565,447,202,201,12.5,7,32.6,9,59.5,8.1,8.2,44.7
Andersonstown 3,295,217,256,614,73,334,611,183,289,11.1,5.2,25.7,6.9,66.7,6.7,8.4,41
Annagh 1,582,805,299,599,833,659,508,411,622,5.4,5,26,0,56.3,7.6,6.5,29.6
Annagh 2,110,767,148,51,306,8,853,83,221,5.9,5.9,62.9,3.3,90.7,3.5,9.7,43.7
Annalong 1,441,236,574,321,702,344,712,531,436,10.8,3.8,38.2,1,66.2,5.7,5.9,36.2
Annalong 2,282,191,615,145,886,206,461,284,244,11.5,3.7,51.2,0,73.4,8,7.5,42.6
Antiville,160,66,233,273,850,217,56,48,175,14.4,5.4,41.2,0,72.7,15.7,10.4,46
Ardboe,258,448,400,130,221,443,545,370,141,8.7,4.5,52,4.2,63,7.3,6.7,47.7
Ardeevin,650,762,752,432,270,692,493,575,747,6,3.3,33.1,3.7,55.1,7.7,5.6,24.2
Ardglass 1,175,44,306,144,248,202,73,136,353,15.6,5,51.2,3.9,73.6,14.9,9,39.2
Ardglass 2,474,200,767,594,209,265,184,572,423,11.3,3.3,26.4,4.4,69.8,11.8,5.6,36.6
Ardoyne 1,58,195,269,35,33,71,103,178,25,11.5,5.1,66,9.4,83.1,13.8,8.5,61.5
Ardoyne 2,39,54,241,28,120,52,187,94,16,14.9,5.3,67.3,5.8,84.9,11.8,9.5,64.3
Ardoyne 3,19,20,153,15,28,61,74,50,14,17.5,5.9,70.4,9.7,84.1,14.9,10.4,64.7
Armoy and Moss-Side and Moyarget,423,870,420,460,408,264,663,565,223,3.5,4.4,31.7,2.6,69.9,6.2,5.7,43.5
Artigarvan,281,534,524,222,481,275,498,323,179,8.1,4,44.9,2.1,69.4,7.7,7.1,45.9
Atlantic,305,325,213,290,210,722,109,99,668,9.8,5.5,40,4.4,53.6,13.6,9.5,27.9
Audley's Acre,531,21,445,502,589,738,151,521,733,17.5,4.3,30,1.5,53.2,12.5,5.9,24.7
Augher,699,436,837,795,852,787,290,405,492,8.8,3,16.1,0,50.2,9.9,6.5,33.9
Aughnacloy,500,548,567,612,780,436,632,421,344,8,3.9,25.7,0.5,63.1,6.5,6.4,39.5
Ballee,41,261,303,1,300,36,252,227,38,10.5,5,85.8,3.4,86.7,10.6,8,59.5
Ballinamallard,454,204,695,206,629,564,258,509,576,11.3,3.5,46.4,1.3,59.5,10.5,6,31.1
Ballinderry 1,746,812,720,667,799,739,232,783,618,5.3,3.4,22.7,0,53.1,10.9,4.6,29.8
Ballinderry 2,612,763,602,566,777,540,646,430,713,6,3.8,27.3,0.5,60.2,6.4,6.4,25.6
Balloo,252,222,311,458,258,268,333,121,313,11,4.9,31.7,3.8,69.7,9.2,9.2,40.1
Ballybay,82,306,96,55,621,100,393,52,131,10,6.4,62.1,1.4,80.5,8.7,10.3,48.1
Ballybot,100,86,38,92,340,185,131,179,117,13.6,7.2,56.6,3.1,74.4,13,8.4,48.9
Ballycarry,420,438,641,292,85,408,438,379,678,8.8,3.7,39.8,6.6,64.2,8.2,6.7,27.4
Ballyclare North 1,346,314,365,219,853,490,121,428,376,9.9,4.7,45.1,0,61.7,13.4,6.4,38
Ballyclare North 2,358,166,495,327,211,445,348,353,510,11.8,4.1,37.9,4.4,63,9.1,6.8,33.4
Ballyclare South 1,161,463,214,136,360,123,239,128,190,8.6,5.5,51.6,2.9,78.5,10.8,9.1,45.2
Ballyclare South 2,452,457,671,456,251,220,492,419,615,8.6,3.6,31.9,3.9,72.3,7.7,6.4,30
Ballycolman,92,544,113,167,723,250,186,22,34,8,6.3,49.5,0.9,70.5,11.8,11.2,60
Ballycraigy,251,278,470,191,491,65,201,574,174,10.3,4.2,47.6,2.1,83.9,11.5,5.6,46.1
Ballycrochan 1,822,664,843,723,842,747,854,747,832,7,3,20,0,52.5,3.5,4.8,18
Ballycrochan 2,806,399,784,724,697,851,802,708,823,9.2,3.2,20,1,44.9,4.6,5.1,19.4
Ballycrochan 3,666,620,751,536,148,484,883,616,731,7.4,3.3,28.3,5.4,61.8,2.4,5.4,24.7
Ballydown 1,757,619,739,632,563,817,774,693,685,7.4,3.4,24.5,1.7,47.6,5,5.1,26.9
Ballydown 2,730,416,662,729,409,591,685,740,765,9,3.6,19.7,2.6,58.6,6,4.8,23.3
Ballyduff 1,200,281,261,153,103,194,325,185,348,10.3,5.2,50.1,6.1,74.1,9.4,8.4,39.3
Ballyduff 2,356,672,606,155,591,349,277,267,616,6.9,3.7,50.1,1.5,66.1,10.1,7.6,29.9
Ballygawley,438,516,668,288,574,594,522,450,307,8.2,3.6,40.1,1.6,58.4,7.5,6.3,40.2
Ballygowan 1,644,323,674,544,538,364,745,745,694,9.9,3.6,28,1.8,65.6,5.4,4.8,26.5
Ballygowan 2,635,80,793,342,593,455,702,813,640,14,3.2,37,1.5,62.8,5.8,4.3,28.9
Ballyhackamore 1,835,850,523,806,671,878,407,828,850,4.4,4,14.9,1.1,36.3,8.6,4.2,16.6
Ballyhackamore 2,798,701,649,763,646,707,58,843,845,6.6,3.6,18.1,1.2,54.3,15.6,4,16.9
Ballyhackamore 3,364,284,358,631,391,219,85,174,725,10.2,4.7,24.6,2.7,72.5,14.4,8.5,25.1
Ballyhanwood 1,723,776,457,845,361,593,411,635,744,5.8,4.2,10.9,2.9,58.6,8.5,5.4,24.2
Ballyhanwood 2,869,637,672,884,606,819,875,879,825,7.2,3.6,1.4,1.4,47.4,2.7,3.5,19.2
Ballyhenry 1,472,751,527,602,70,493,568,286,545,6.1,4,25.9,7.1,61.7,7,7.5,32.2
Ballyhenry 2,294,531,198,193,60,312,599,436,457,8.1,5.6,47.4,7.7,67.9,6.8,6.4,35.4
Ballyhoe and Corkey,525,847,594,523,379,332,548,662,346,4.4,3.8,29,2.8,66.7,7.2,5.2,39.5
Ballyholme,867,835,711,848,645,813,874,856,878,4.8,3.4,10.4,1.2,47.9,2.7,3.8,11.3
Ballykeel,177,547,357,208,492,70,124,313,44,8,4.7,46,2.1,83.2,13.2,7.2,58.1
Ballykelly,338,428,658,446,545,282,185,342,188,8.9,3.6,32.5,1.8,69,11.8,6.9,45.4
Ballyloran,150,182,313,287,333,229,221,41,116,11.7,4.9,40.2,3.1,71.6,11.1,10.7,49.1
Ballylough and Bushmills,147,338,399,70,79,142,633,132,135,9.7,4.5,59.8,6.8,77.3,6.5,9.1,47.9
Ballyloughan,788,426,555,556,393,686,888,877,756,8.9,3.9,27.7,2.7,55.3,1.6,3.5,23.9
Ballymacarrett 1,48,139,48,172,137,53,147,20,51,12.1,7.1,49,5.5,84.8,12.6,11.2,56.6
Ballymacarrett 2,25,105,86,78,215,74,69,11,15,13,6.4,59,4.3,82.7,14.9,11.9,64.6
Ballymacarrett 3,17,50,39,30,598,19,382,6,52,15.2,7.2,66.7,1.5,88.7,8.8,12.4,56.6
Ballymacash 1,424,720,532,516,320,333,358,287,571,6.4,4,29.4,3.3,66.7,9,7.5,31.3
Ballymacash 2,865,798,849,862,774,841,880,805,840,5.4,2.9,7.5,0.5,45.7,2.7,4.4,17.4
Ballymacbrennan 1,859,145,841,835,717,871,677,876,841,12.1,3,12,0.9,40.1,6.1,3.5,17.3
Ballymacbrennan 2,864,717,833,834,824,828,871,878,790,6.4,3,12.1,0,47,2.8,3.5,21.7
Ballymaconnell 1,576,218,579,736,280,480,194,288,829,11.1,3.8,19.4,3.6,62,11.7,7.4,18.5
Ballymaconnell 2,787,495,774,788,447,648,753,736,819,8.4,3.3,16.5,2.3,56.7,5.4,4.9,19.6
Ballymacoss 1,286,137,228,442,567,318,326,209,419,12.2,5.4,32.6,1.6,67.6,9.4,8.2,36.7
Ballymacoss 2,264,356,224,231,555,213,172,265,497,9.5,5.4,44,1.7,73,12.1,7.6,33.8
Ballymacoss 3,574,546,520,662,699,371,547,519,602,8,4,22.9,1,65.3,7.2,5.9,30.3
Ballymagee 1,772,816,645,774,167,629,867,646,810,5.2,3.6,17.3,5,57.3,3,5.3,20
Ballymagee 2,515,343,613,664,735,343,379,300,691,9.6,3.7,22.8,0.8,66.2,8.8,7.3,26.6
Ballymaglave 1,527,392,717,351,442,606,722,532,485,9.2,3.4,36.6,2.3,58,5.6,5.9,34.1
Ballymaglave 2,274,257,626,173,537,231,144,352,310,10.5,3.7,49,1.8,71.6,12.7,6.8,40.1
Ballymaguigan,728,710,830,433,779,734,769,803,463,6.5,3,33,0.5,53.3,5,4.4,35.2
Ballymartrim,659,600,542,772,784,706,434,625,448,7.5,4,17.5,0.5,54.3,8.3,5.4,35.8
Ballymote,113,8,247,125,146,99,17,192,206,19.1,5.3,52.4,5.4,80.5,19.4,8.3,44.2
Ballynafeigh 1,684,550,492,733,792,320,800,559,833,7.9,4.1,19.4,0.1,67.3,4.7,5.7,17.9
Ballynafeigh 2,313,437,130,394,150,273,427,120,803,8.8,6.1,34.9,5.3,69.5,8.3,9.2,21
Ballynafeigh 3,151,115,45,99,583,66,304,107,629,12.6,7.1,55.5,1.5,83.8,9.7,9.4,29.5
Ballynahinch East,256,266,421,296,119,238,14,279,452,10.4,4.4,39.6,5.8,71.3,19.6,7.5,35.7
Ballynashallog 1,744,636,411,655,440,843,300,822,711,7.2,4.4,23.1,2.3,45.6,9.8,4.2,25.7
Ballynashallog 2,853,734,563,877,798,879,406,823,856,6.3,3.9,3.8,0,35.3,8.6,4.2,16.2
Ballynure 1,628,514,734,297,337,795,817,431,777,8.2,3.4,39.5,3.1,49.6,4.4,6.4,22.5
Ballynure 2,809,830,872,651,698,731,404,797,804,5,2.6,23.3,1,53.4,8.6,4.5,20.9
Ballyoran,366,414,301,597,484,395,506,345,247,9,5,26.2,2.1,64.6,7.6,6.9,42.6
Ballyrainey,210,425,182,118,686,227,583,181,282,8.9,5.7,53.1,1.1,71.8,7,8.4,41.2
Ballyrobert 1,769,868,850,535,233,523,420,827,776,3.7,2.9,28.3,4.2,60.7,8.4,4.2,22.5
Ballyrobert 2,485,513,798,318,95,290,322,498,683,8.2,3.2,38.3,6.3,68.7,9.4,6,27
Ballysaggart,155,529,67,72,100,160,380,321,182,8.1,6.8,59.6,6.2,75.9,8.8,7.1,45.6
Ballysally 1,114,119,429,60,39,92,98,348,45,12.5,4.3,61.9,9.2,81,14,6.8,57.6
Ballysally 2,103,130,635,11,118,172,72,169,99,12.3,3.7,71.5,5.9,75.3,14.9,8.6,50.5
Ballysillan 1,47,37,95,52,25,21,168,129,66,16.1,6.4,62.8,9.9,87.9,12.2,9.1,54.6
Ballysillan 2,146,235,141,196,107,103,158,203,181,10.8,6,47.2,6,80.3,12.3,8.2,45.6
Ballysillan 3,270,108,351,345,94,232,373,356,349,12.9,4.8,36.9,6.4,71.6,8.9,6.8,39.3
Ballywalter 1,218,211,163,277,464,81,884,140,296,11.2,5.8,40.8,2.2,81.5,2.3,9,40.6
Ballywalter 2,339,159,433,211,736,384,523,340,470,11.9,4.3,45.9,0.8,64.9,7.4,6.9,34.7
Ballyward,513,803,580,378,441,434,728,492,565,5.4,3.8,35.6,2.3,63.2,5.5,6,31.5
Banagher,517,128,716,583,626,583,294,623,290,12.4,3.4,26.7,1.3,59,9.9,5.4,41
Banbridge West,267,157,237,248,412,327,248,319,384,11.9,5.3,42.9,2.5,66.9,10.6,7.1,37.8
Bangor Castle,410,369,452,389,223,469,790,275,598,9.4,4.3,35,4.2,62.4,4.9,7.6,30.4
Bannside,760,589,799,660,767,699,838,753,567,7.7,3.2,22.9,0.6,54.8,4,4.8,31.4
Beechill 1,858,671,889,750,745,824,477,846,862,6.9,2.2,18.9,0.7,47.3,7.9,4,15.8
Beechill 2,758,192,448,781,581,703,499,819,770,11.5,4.3,16.8,1.5,54.5,7.6,4.2,22.8
Beechill 3,642,388,344,706,572,657,695,655,624,9.2,4.8,20.9,1.6,56.3,5.9,5.3,29.6
Beechmount 1,132,473,114,142,61,76,352,147,224,8.5,6.2,51.4,7.6,82.5,9.1,8.9,43.5
Beechmount 2,66,25,87,146,44,54,23,218,63,16.9,6.4,51.1,8.8,84.7,18.3,8.1,54.8
Beechmount 3,162,696,136,124,402,212,436,189,57,6.7,6,52.4,2.6,73.1,8.3,8.4,55.9
Beechwood,257,422,212,315,106,646,307,222,153,9,5.5,38.5,6,56.8,9.7,8.1,47
Belcoo and Garrison,540,337,596,584,770,596,34,648,431,9.7,3.8,26.7,0.6,58.4,17.3,5.3,36.3
Bellaghy,629,811,840,349,364,419,858,781,323,5.3,3,36.7,2.9,63.7,3.3,4.6,39.9
Belleek and Boa,450,42,535,550,760,534,236,522,331,16,4,27.9,0.6,60.4,10.9,5.9,39.8
Bellevue 1,588,220,621,610,49,636,396,678,578,11.1,3.7,25.7,8.5,57,8.6,5.2,31.1
Bellevue 2,127,144,176,163,20,79,61,224,214,12.1,5.7,49.9,10.5,82.2,15.3,8,44
Bellevue 3,204,168,161,326,83,162,196,159,404,11.8,5.8,37.9,6.6,75.9,11.6,8.7,37.1
Belmont 1,866,238,838,857,840,800,711,874,868,10.7,3,8.9,0,49.3,5.7,3.5,14.5
Belmont 2,508,212,556,461,665,340,256,661,625,11.2,3.9,31.6,1.1,66.3,10.5,5.2,29.6
Belmont 3,170,460,192,26,526,134,152,337,271,8.6,5.6,67.4,1.9,77.7,12.4,7,41.5
Benburb,566,739,623,480,488,400,531,692,458,6.2,3.7,30.7,2.1,64.5,7.3,5.1,35.3
Benvardin,309,634,644,178,751,308,335,271,272,7.2,3.6,48.5,0.7,68,9.2,7.6,41.5
Beragh,478,153,376,482,700,589,369,493,554,11.9,4.6,30.6,1,58.6,8.9,6,31.9
Bessbrook,61,107,16,120,348,191,93,44,133,12.9,7.8,53,3,74.2,14.1,10.6,48
Binnian,550,481,540,637,496,495,760,550,382,8.5,4,24,2,61.6,5.2,5.8,37.8
Blackcave,209,359,335,295,695,205,37,145,216,9.5,4.8,39.7,1,73.4,17.2,8.9,43.9
Blackhead,408,793,394,384,99,582,366,197,697,5.5,4.5,35.3,6.2,59,8.9,8.3,26.4
Blackstaff 1,22,65,31,32,34,14,179,15,193,14.4,7.3,66.6,9.4,89.3,11.9,11.6,45.1
Blackstaff 2,36,10,73,202,8,10,102,24,122,18.8,6.6,46.9,12.3,90,13.9,11.1,48.4
Blaris 1,263,303,277,305,51,204,280,380,343,10,5.1,39,8.2,73.6,10.1,6.6,39.5
Blaris 2,843,643,874,799,821,771,483,859,812,7.1,2.6,15.9,0,51.4,7.8,3.8,20
Bleary 1,781,628,737,786,437,717,710,727,754,7.3,3.4,16.7,2.4,53.9,5.7,4.9,24
Bleary 2,567,567,488,577,446,685,732,476,484,7.8,4.1,26.9,2.3,55.3,5.5,6.1,34.1
Bloomfield 1 (Belfast LGD),60,32,93,8,116,73,287,116,335,16.4,6.4,73.7,5.9,82.9,9.9,9.3,39.7
Bloomfield 1 (North Down LGD),233,410,204,247,405,184,485,142,442,9.1,5.6,42.9,2.6,74.4,7.8,8.9,36.1
Bloomfield 2 (Belfast LGD),671,124,576,742,153,382,349,838,714,12.4,3.8,19.1,5.3,64.9,9.1,4,25.5
Bloomfield 2 (North Down LGD),417,423,419,294,585,356,703,461,563,9,4.4,39.7,1.5,65.8,5.8,6.2,31.6
Bloomfield 3 (Belfast LGD),143,208,26,220,124,112,28,160,488,11.2,7.4,45,5.8,79.3,17.8,8.7,34.1
Bluefield 1,486,275,413,416,218,807,344,315,659,10.4,4.4,33.5,4.3,48.7,9.1,7.2,28.3
Bluefield 2,771,730,741,759,586,605,819,703,741,6.3,3.3,18.6,1.5,58,4.4,5.1,24.3
Boho Cleenish and Letterbreen,415,162,633,408,406,483,235,438,471,11.8,3.7,34.1,2.6,61.9,10.9,6.3,34.7
Bonamargy and Rathlin and Glenshesk,696,814,690,542,694,515,765,776,599,5.2,3.5,28,1,61,5.1,4.6,30.4
Boneybefore,587,873,765,314,225,363,585,516,758,3.4,3.3,38.6,4.2,65.6,7,5.9,23.9
Botanic 1,833,197,584,886,797,885,639,552,834,11.5,3.8,1.1,0.1,,6.4,5.7,17.9
Botanic 2,241,856,3,250,1,881,890,1,753,4.2,14.3,42.9,16.6,,0,22.4,24
Botanic 3,303,769,1,628,230,886,399,2,805,5.9,22.6,25,4.2,,8.6,16,20.9
Botanic 4,120,4,2,69,4,884,302,3,726,19.7,16.7,60.2,13.9,,9.7,15.6,25.1
Botanic 5,44,5,9,31,57,377,89,47,138,19.6,8.2,66.6,8.1,65.1,14.3,10.5,47.7
Bradshaw's Brae 1,321,362,489,182,347,671,246,108,627,9.5,4.1,48.3,3,55.8,10.7,9.4,29.6
Bradshaw's Brae 2,845,724,865,757,654,775,797,872,795,6.3,2.8,18.6,1.2,51.2,4.8,3.6,21.5
Brandywell,98,412,110,139,82,319,363,49,42,9,6.3,51.4,6.6,67.5,9,10.4,58.6
Broadway 1,529,301,530,591,314,713,12,317,811,10.1,4,26.4,3.3,54.1,19.8,7.2,20
Broadway 2,813,883,812,570,584,806,860,656,861,3,3.1,27.2,1.5,48.8,3.2,5.3,16
Brookeborough,565,357,547,773,733,799,104,351,350,9.5,3.9,17.5,0.8,49.3,13.8,6.8,39.2
Broughshane 1,592,853,564,454,813,723,792,399,450,4.3,3.9,32,0,53.6,4.9,6.6,35.7
Broughshane 2,709,753,810,666,523,579,718,705,541,6.1,3.1,22.8,1.9,59.1,5.6,5.1,32.3
Brownstown 1,311,378,260,524,725,249,433,190,362,9.3,5.2,28.9,0.8,70.6,8.3,8.3,38.7
Brownstown 2,297,487,207,450,832,296,559,239,222,8.4,5.5,32.3,0,68.4,7.1,7.9,43.5
Bryansburn 1,818,623,834,622,883,805,589,789,838,7.4,3,25.2,0,48.9,6.9,4.5,17.6
Bryansburn 2,807,169,659,797,890,811,767,741,791,11.8,3.6,16.1,0,48.2,5,4.8,21.7
Burleigh Hill 1,705,885,652,690,187,355,788,734,681,2.9,3.6,21.4,4.7,65.8,4.9,4.9,27.1
Burleigh Hill 2,782,748,682,738,301,705,400,836,755,6.2,3.5,19.3,3.4,54.3,8.6,4,23.9
Burnthill 1,498,141,371,668,349,623,759,359,516,12.1,4.7,22.7,3,57.4,5.2,6.8,33.3
Burnthill 2,516,765,472,495,214,528,833,386,592,5.9,4.2,30.1,4.3,60.6,4.1,6.6,30.5
Burren and Kilbroney 1,716,677,474,778,549,779,777,649,562,6.8,4.2,17.2,1.7,50.7,4.9,5.3,31.6
Burren and Kilbroney 2,789,746,487,809,775,720,680,817,721,6.2,4.1,14.7,0.5,53.8,6,4.2,25.3
Cairnshill 1,854,633,870,767,765,853,679,865,846,7.3,2.7,17.8,0.6,44.7,6,3.7,16.8
Cairnshill 2,717,89,794,304,422,727,110,860,820,13.4,3.2,39,2.5,53.5,13.6,3.8,19.5
Caledon,668,420,829,658,439,655,662,676,429,9,3.1,23,2.3,56.4,6.2,5.2,36.4
Callan Bridge,97,299,23,245,327,117,148,63,130,10.1,7.6,43,3.2,79.1,12.6,10.1,48.1
Camlough,599,341,614,653,749,785,530,488,392,9.7,3.7,23.2,0.7,50.3,7.4,6,37.4
Camowen,457,293,255,549,615,584,414,540,393,10.1,5.2,27.9,1.4,58.9,8.5,5.8,37.4
Carn Hill 1,315,272,145,633,539,599,317,294,107,10.4,6,24.5,1.8,58.3,9.5,7.4,49.5
Carn Hill 2,144,713,232,151,48,313,39,207,43,6.5,5.4,50.3,8.6,67.8,17,8.2,58.5
Carnany,302,573,446,407,404,338,345,230,241,7.8,4.3,34.2,2.6,66.4,9.1,8,42.8
Carncastle,751,802,789,747,271,740,776,463,788,5.4,3.2,19,3.7,53.1,4.9,6.2,21.8
Carnlough,440,855,416,547,374,464,295,414,319,4.2,4.4,27.9,2.8,62.6,9.9,6.5,39.9
Carnmoney 1,69,47,133,40,577,210,112,37,140,15.6,6,64.8,1.6,73.1,13.6,10.8,47.7
Carnmoney 2,619,740,660,600,180,550,848,465,686,6.2,3.6,26,4.8,59.8,3.6,6.2,26.8
Carnmoon and Dunseverick,490,839,819,401,483,418,448,364,357,4.7,3.1,34.3,2.1,63.7,8.1,6.8,38.9
Carrigatuke,686,844,631,841,776,524,549,690,263,4.6,3.7,11.4,0.5,60.7,7.2,5.1,41.9
Carrowdore 1,683,577,618,751,290,549,637,696,658,7.8,3.7,18.9,3.5,59.8,6.4,5.1,28.4
Carrowdore 2,539,397,484,436,682,404,605,711,515,9.2,4.1,32.9,1.1,64.3,6.8,5,33.3
Carrowreagh 1,700,315,583,665,766,576,692,756,701,9.9,3.8,22.8,0.6,59.2,5.9,4.8,26.3
Carrowreagh 2,225,382,193,170,554,115,298,460,205,9.3,5.6,49.1,1.7,79.2,9.8,6.2,44.3
Carryduff East 1,825,675,824,815,734,832,486,706,854,6.9,3.1,13.9,0.8,46.5,7.8,5.1,16.3
Carryduff East 2,734,352,677,764,504,825,311,631,740,9.5,3.6,18.1,2,47.2,9.6,5.4,24.4
